	gene_short_name
A1BG	A1BG
A4GNT	A4GNT
AACS	AACS
AADAC	AADAC
AAGAB	AAGAB
AAK1	AAK1
AASS	AASS
ABCB11	ABCB11
ABCB1	ABCB1
ABCB4	ABCB4
ABCB5	ABCB5
ABCC2	ABCC2
ABCC4	ABCC4
ABCC8	ABCC8
ABCC9	ABCC9
ABCD3	ABCD3
ABCF2	ABCF2
ABCG2	ABCG2
ABHD11	ABHD11
ABHD14B	ABHD14B
ABL1	ABL1
ABLIM1	ABLIM1
ACAA1	ACAA1
ACACB	ACACB
ACAD10	ACAD10
ACADL	ACADL
ACADM	ACADM
ACADVL	ACADVL
ACAP2	ACAP2
ACCS	ACCS
ACER3	ACER3
ACO2	ACO2
ACOT2	ACOT2
ACOX3	ACOX3
ACPP	ACPP
ACSBG1	ACSBG1
ACSL3	ACSL3
ACSL4	ACSL4
ACSM3	ACSM3
ACSS3	ACSS3
ACTA2	ACTA2
ACTB	ACTB
ACTL8	ACTL8
ACTN2	ACTN2
ACTR3C	ACTR3C
ACTR3	ACTR3
ACTR6	ACTR6
ACTR8	ACTR8
ACTRT1	ACTRT1
ACVR1C	ACVR1C
ACVR1	ACVR1
ACVR2A	ACVR2A
ADAM15	ADAM15
ADAM22	ADAM22
ADAM23	ADAM23
ADAM28	ADAM28
ADAM2	ADAM2
ADAM7	ADAM7
ADAMTS2	ADAMTS2
ADAMTS6	ADAMTS6
ADAP1	ADAP1
ADCY2	ADCY2
ADCYAP1R1	ADCYAP1R1
ADD1	ADD1
ADD2	ADD2
ADIPOR2	ADIPOR2
ADNP	ADNP
ADRA1A	ADRA1A
ADSS	ADSS
AFF4	AFF4
AFM	AFM
AFTPH	AFTPH
AGA	AGA
AGER	AGER
AGK	AGK
AGPAT4	AGPAT4
AGPS	AGPS
AGR2	AGR2
AGXT2	AGXT2
AHRR	AHRR
AHR	AHR
AHSA1	AHSA1
AICDA	AICDA
AIMP2	AIMP2
AKAP10	AKAP10
AKAP11	AKAP11
AKAP1	AKAP1
AKAP3	AKAP3
AKAP7	AKAP7
AKAP8L	AKAP8L
AKAP8	AKAP8
AKR1D1	AKR1D1
AKT3	AKT3
ALDH18A1	ALDH18A1
ALDH3B1	ALDH3B1
ALDH8A1	ALDH8A1
ALG13	ALG13
ALG5	ALG5
ALG6	ALG6
ALG9	ALG9
ALKBH1	ALKBH1
ALMS1	ALMS1
ALOX12	ALOX12
ALOX5	ALOX5
ALPK1	ALPK1
ALS2	ALS2
ALX1	ALX1
AMBP	AMBP
AMBRA1	AMBRA1
AMELX	AMELX
AMMECR1	AMMECR1
AMPD1	AMPD1
AMPH	AMPH
ANAPC4	ANAPC4
ANAPC5	ANAPC5
ANGPT2	ANGPT2
ANGPTL1	ANGPTL1
ANK1	ANK1
ANKIB1	ANKIB1
ANKMY2	ANKMY2
ANKRD10	ANKRD10
ANKRD12	ANKRD12
ANKRD13C	ANKRD13C
ANKRD26	ANKRD26
ANKRD27	ANKRD27
ANKRD44	ANKRD44
ANKRD7	ANKRD7
ANLN	ANLN
ANO2	ANO2
ANXA10	ANXA10
ANXA13	ANXA13
AP1S1	AP1S1
